BNO,20090212,0.2,0.205,0.2,0.205,180500
BOC,20090212,0.685,0.725,0.685,0.725,2900
BOL,20090212,0.53,0.53,0.52,0.525,46039
BOM,20090212,0.041,0.041,0.04,0.04,100000
BOQ,20090212,6.99,7.1,6.88,6.94,266896
BOS,20090212,0.007,0.007,0.007,0.007,150000
BOW,20090212,0.38,0.4,0.365,0.375,1167594
BPO,20090212,0.014,0.014,0.013,0.013,510884
BPT,20090212,0.81,0.84,0.78,0.79,28213053
BRC,20090212,0.225,0.225,0.225,0.225,5000
BRM,20090212,1,1.04,0.99,1.035,825819
BRO,20090212,0.004,0.006,0.004,0.006,355100
BRU,20090212,0.18,0.19,0.18,0.19,199378
BSA,20090212,0.15,0.15,0.15,0.15,1050
BSI,20090212,0.025,0.025,0.025,0.025,200000
BSL,20090212,3.42,3.43,3.3,3.3,3582446
BSM,20090212,0.105,0.105,0.105,0.105,50000
BTA,20090212,0.47,0.47,0.455,0.455,305409
BTC,20090212,0.1,0.1,0.1,0.1,5000
BTR,20090212,0.085,0.09,0.085,0.09,10000
BTT,20090212,1.75,1.81,1.75,1.81,23419
BTV,20090212,0.078,0.078,0.078,0.078,40000
BUL,20090212,0.17,0.17,0.15,0.15,573060
BVA,20090212,0.18,0.18,0.18,0.18,20799
BWN,20090212,0.053,0.053,0.053,0.053,2500
BWP,20090212,1.56,1.62,1.555,1.565,520567
BXB,20090212,6.33,6.54,6.23,6.4,2962092
BYL,20090212,0.12,0.12,0.12,0.12,4500
BYR,20090212,0.016,0.016,0.015,0.015,108000
CAB,20090212,5.22,5.64,5.16,5.43,193946
CAF,20090212,0.175,0.175,0.175,0.175,5146
CAG,20090212,0.004,0.004,0.004,0.004,325000
CAH,20090212,0.045,0.05,0.045,0.049,953209
CAZ,20090212,0.175,0.175,0.175,0.175,3314
CBA,20090212,30.15,31.19,30.13,30.95,6237263
CBB,20090212,0.24,0.24,0.24,0.24,2986300
CBD,20090212,0.05,0.055,0.05,0.05,60000
CBH,20090212,0.04,0.04,0.039,0.039,197371
CBX,20090212,0.42,0.42,0.4,0.4,16000
CCL,20090212,8.56,8.85,8.51,8.51,4873308
CCP,20090212,0.455,0.455,0.45,0.45,10000
CCQ,20090212,0.36,0.36,0.36,0.36,10000
CCV,20090212,0.305,0.305,0.3,0.3,35200
CCY,20090212,0.023,0.024,0.023,0.024,2485187
CDD,20090212,3.04,3.1,3.04,3.07,65387
CDF,20090212,0.91,0.915,0.91,0.915,37507
CDI,20090212,0.4,0.4,0.4,0.4,17250
CDM,20090212,0.48,0.48,0.45,0.45,345500
CDU,20090212,1.9,1.95,1.9,1.95,3000
CEG,20090212,0.16,0.16,0.16,0.16,5833
CER,20090212,0.055,0.058,0.055,0.058,2961242
CEU,20090212,0.44,0.45,0.44,0.445,1795998
CEY,20090212,2.56,2.66,2.54,2.54,767289
CFE,20090212,0.27,0.275,0.27,0.275,388490
CFR,20090212,0.004,0.004,0.004,0.004,1314990
CFU,20090212,0.051,0.051,0.049,0.05,3562126
CFX,20090212,1.71,1.835,1.705,1.79,8083872
CGF,20090212,1.03,1.075,0.995,1.01,2046372
