Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:HPG,"Hipages Group Holdings Limited (ASX:HPG)",https://www.listcorp.com/asx/hpg/hipages-group-holdings-limited,"	150131000",1.05,-0.07,-6.25,"Communication Services"
ASX:EZL,"Euroz Hartleys Group Limited (ASX:EZL)",https://www.listcorp.com/asx/ezl/euroz-hartleys-group-limited,"	149989000",0.875,-0.04,-3.85,Financials
ASX:RCT,"Reef Casino Trust (ASX:RCT)",https://www.listcorp.com/asx/rct/reef-casino,"	148164000",2.99,-0.03,-0.99,"Consumer Discretionary"
ASX:NAM,"Namoi Cotton Limited (ASX:NAM)",https://www.listcorp.com/asx/nam/namoi-cotton-limited,"	146800000",0.72,0.01,0.7,Industrials
ASX:BRL,"Bathurst Resources Limited (ASX:BRL)",https://www.listcorp.com/asx/brl/bathurst-resources,"	146390000",0.73,-0.04,-4.58,Materials
ASX:BRI,"Big River Industries Limited (ASX:BRI)",https://www.listcorp.com/asx/bri/big-river-industries-limited,"	145117000",1.7,0.00,0,Materials
ASX:EOL,"Energy One Limited (ASX:EOL)",https://www.listcorp.com/asx/eol/energy-one-limited,"	144932000",4.4,-0.25,-5.38,"Information Technology"
ASX:IXI,"iShares Global Consumer Staples ETF (ASX:IXI)",https://www.listcorp.com/asx/ixi/ishares-global-consumer-staples-etf,"	143184000",96.11,1.51,1.6,Unclassified
ASX:M7T,"Mach7 Technologies Limited (ASX:M7T)",https://www.listcorp.com/asx/m7t/mach7-technologies-limited,"	142332000",0.575,-0.01,-2.54,"Health Care"
ASX:TTT,"Titomic Limited (ASX:TTT)",https://www.listcorp.com/asx/ttt/titomic-limited,"	141537000",0.13,-0.01,-7.14,Materials
ASX:IMR,"Imricor Medical Systems, Inc. (ASX:IMR)",https://www.listcorp.com/asx/imr/imricor-medical-systems-inc,"	141334000",0.525,-0.04,-6.25,"Health Care"
ASX:BKY,"Berkeley Energia Limited (ASX:BKY)",https://www.listcorp.com/asx/bky/berkeley-energia-limited,"	140426000",0.305,-0.01,-3.17,Energy
