ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AOA,Ausmon Resources Ltd,Materials,"611,539",0,,,
AOF,Australian Unity Office Fund,Real Estate,"333,806,000",0.017,,,
AON,Apollo Minerals Ltd,Materials,"6,052,900",0,,,
AOP,Apollo Consolidated Ltd,Materials,"57,855,600",0.003,,,
AOU,Auroch Minerals Ltd,Materials,"8,313,120",0,,,
AOW,American Patriot Oil & Gas Ltd,Energy,"14,736,900",0.001,,,
APA,APA Group,Utilities,"12,884,400,000",0.67,,,
APC,Australian Potash Ltd,Materials,"30,948,600",0.002,,,
APD,Apn Property Group,Financials,"159,010,000",0.008,,,
APE,AP Eagers Ltd,Consumer Discretionary,"1,320,640,000",0.069,,,
APG,Austpac Resources NL,Materials,"2,834,000",0,,,
APH,Australian Primary Hemp Ltd,Health Care,"4,923,980",0,,,
API,Australian Pharmaceutical Industries Ltd,Health Care,"576,408,000",0.03,,,
APL,Antipodes Global Investment Company Ltd,,"492,484,000",0.026,,,
APT,Afterpay Ltd,Information Technology,"8,329,580,000",0.433,,,
APV,Appsvillage Australia Ltd,Information Technology,"9,464,390",0,,,
APW,Aims Property Securities Fund,Real Estate,"53,523,700",0.003,,,
APX,Appen Ltd,Information Technology,"3,142,190,000",0.163,,,
APZ,Aspen Group,Real Estate,"97,285,000",0.005,,,
AQC,Australian Pacific Coal Ltd,Materials,"7,320,300",0,,,
AQD,Ausquest Ltd,Materials,"8,805,320",0,,,
AQG,Alacer Gold Corp,Materials,"499,400,000",0.026,,,
AQI,Alicanto Minerals Ltd,Materials,"20,521,700",0.001,,,
AQR,Apn Convenience Retail REIT,Real Estate,"300,991,000",0.016,,,
AQS,AQUIS Entertainment Ltd,Consumer Discretionary,"428,630",0,,,
AQX,Alice QUEEN Ltd,Materials,"16,769,700",0.001,,,
AQZ,Alliance Aviation Services Ltd,Industrials,"270,237,000",0.014,,,
AR9,Archtis Ltd,Information Technology,"7,809,190",0,,,
ARA,Ariadne Australia Ltd,Industrials,"78,496,900",0.004,,,
ARB,ARB Corporation Ltd,Consumer Discretionary,"1,215,820,000",0.063,,,
ARC,Australian Rural Capital Ltd,Financials,"3,236,560",0,,,
ARD,Argent Minerals Ltd,Materials,"10,754,700",0.001,,,
ARE,Argonaut Resources NL,Materials,"6,313,520",0,,,
ARF,Arena REIT,Real Estate,"680,175,000",0.035,,,
ARG,Argo Investments Ltd,,"5,300,550,000",0.275,,,
ARL,Ardea Resources Ltd,Materials,"31,671,100",0.002,,,
ARM,Aurora Minerals Ltd,Materials,"3,279,730",0,,,
ARN,Aldoro Resources Ltd,Materials,"5,992,300",0,,,
ARO,Astro Resources NL,Materials,"3,816,290",0,,,
ARQ,ARQ Group Ltd,Information Technology,"12,823,800",0.001,,,
ARS,Alt Resources Ltd,Materials,"17,615,200",0.001,,,
ARU,Arafura Resources Ltd,Materials,"77,007,300",0.004,,,
ARV,Artemis Resources Ltd,Materials,"35,013,900",0.002,,,
AS1,Angel Seafood Holdings Ltd,Consumer Staples,"19,137,900",0.001,,,
ASB,Austal Ltd,Industrials,"1,197,970,000",0.062,,,
ASG,Autosports Group Ltd,Consumer Discretionary,"148,740,000",0.008,,,
ASH,Ashley Services Group Ltd,Industrials,"38,873,500",0.002,,,
ASIA,Betashares Asia Technology Tigers ETF,,"101,741,000",0.005,,,
ASN,Anson Resources Ltd,Materials,"10,799,300",0.001,,,
ASP,Aspermont Ltd,Communication Services,"21,234,500",0.001,,,
ASQ,Australian Silica Quartz Group Ltd,Materials,"9,649,000",0.001,,,
AST,Ausnet Services Ltd,Utilities,"6,987,830,000",0.363,,,
ASW,Advanced Share Registry Ltd,Financials,"25,565,100",0.001,,,
ASX,ASX Ltd,Financials,"15,787,700,000",0.82,,,
