ASX Listed Companies (1 October 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AQS,AQUIS Ent Limited,Consumer Discretionary,892.979,0,,,
AQX,Alice QUEEN Limited,Materials,"29,405,400",1,,,
AQZ,Alliance Aviation,Industrials,"289,096,000",13,,,
AR9,Archtis Limited,Information Technology,"13,178,000",1,,,
ARA,Ariadne Australia,Industrials,"120,933,000",5,,,
ARB,ARB Corporation,Consumer Discretionary,"1,518,760,000",67,,,
ARC,Aust Rural Cap Limited,Financials,"4,127,880",0,,,
ARD,Argent Minerals,Materials,"11,371,800",0,,,
ARE,Argonaut Resources,Materials,"7,771,900",0,,,
ARF,Arena REIT,Real Estate,"855,531,000",38,,,
ARG,Argo Investments,,"5,877,990,000",258,,,
ARL,Ardea Resources Limited,Materials,"60,076,100",3,,,
ARM,Aurora Minerals Limited,Materials,"2,811,200",0,,,
ARN,Aldoro Resources,Materials,"6,540,450",0,,,
ARO,Astro Resources NL,Materials,"2,544,200",0,,,
ARQ,ARQ Group Limited,Information Technology,"45,799,200",2,,,
ARS,Alt Resources Limited,Materials,"10,869,200",0,,,
ARU,Arafura Resource Limited,Materials,"85,446,400",4,,,
ARV,Artemis Resources,Materials,"28,476,400",1,,,
AS1,Angel Seafood,Consumer Staples,"18,039,000",1,,,
ASB,Austal Limited,Industrials,"1,546,980,000",68,,,
ASG,Autosports Group Limited,Consumer Discretionary,"339,690,000",15,,,
ASH,Ashley Services Group,Industrials,"49,671,700",2,,,
ASIA,Beta Asiatech Tigers ETF Units FP,,"61,446,000",3,,,
ASL,Ausdrill Limited,Materials,"1,530,360,000",67,,,
ASN,Anson Resources Limited,Materials,"23,398,500",1,,,
ASP,Aspermont Limited,Consumer Discretionary,"23,280,300",1,,,
AST,Ausnet Services Limited,Utilities,"6,697,010,000",294,,,
ASW,Advanced Share Limited,Financials,"30,136,300",1,,,
ASX,ASX Limited,Financials,"15,694,800,000",689,,,
ATA,Atc Alloys Limited,Materials,"3,522,290",0,,,
ATC,Altech Chem Limited,Materials,"92,891,700",4,,,
ATH,Alterity Therap Limited,Health Care,"25,195,200",1,,,
ATL,Apollo Tourism,Consumer Discretionary,"87,490,900",4,,,
ATM,Aneka Tambang,Materials,"1,303,650",0,,,
ATP,Atlas Pearls Limited,Consumer Discretionary,"2,995,100",0,,,
ATR,Astron Corp Limited,Materials,"21,433,500",1,,,
ATS,Australis Oil & Gas,Energy,"177,473,000",8,,,
ATU,Atrum Coal Limited,Materials,"168,933,000",7,,,
ATX,Amplia Therapeutics,Health Care,"4,253,650",0,,,
AU1,The Agency Group Aus,Real Estate,"8,360,720",0,,,
