Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:VRX,"VRX Silica Ltd (ASX:VRX)",https://www.listcorp.com/asx/vrx/vrx-silica-ltd,"	68236600",0.091,0.00,0,Materials
ASX:FRM,"Farm Pride Foods Ltd (ASX:FRM)",https://www.listcorp.com/asx/frm/farm-pride-foods-ltd,"	68083400",0.29,-0.00,-1.69,"Consumer Staples"
ASX:MRD,"Mount Ridley Mines Limited (ASX:MRD)",https://www.listcorp.com/asx/mrd/mount-ridley-mines-limited,"	68039900",0.047,-0.01,-17.54,Materials
ASX:OPN,"Openn Negotiation Limited (ASX:OPN)",https://www.listcorp.com/asx/opn/openn-negotiation-limited,"	67750600",0.6,0.00,0,Industrials
ASX:PCG,"Pengana Capital Group (ASX:PCG)",https://www.listcorp.com/asx/pcg/pengana-capital-group,"	67640300",0.68,-0.01,-0.73,Financials
ASX:USD,"BetaShares U.S. Dollar ETF (ASX:USD)",https://www.listcorp.com/asx/usd/betashares-u.s.-dollar-etf,"	67403800",15.32,0.08,0.52,Unclassified
ASX:GOVT,"SPDR S&P/ASX Australian Government Bond Fund (ASX:GOVT)",https://www.listcorp.com/asx/govt/spdr-s-and-p-asx-australian-government-bond-fund,"	67044500",24.73,0.06,0.24,Unclassified
ASX:RKN,"Reckon Limited (ASX:RKN)",https://www.listcorp.com/asx/rkn/reckon-limited,"	66844000",0.6,0.01,1.69,"Information Technology"
ASX:IRI,"Integrated Research Limited (ASX:IRI)",https://www.listcorp.com/asx/iri/integrated-research-limited,"	66819000",0.365,-0.00,-1.35,"Information Technology"
ASX:IISV,"Intelligent Investor Select Value Share Fund (Managed Fund) (ASX:IISV)",https://www.listcorp.com/asx/iisv/intelligent-investor-select-value-share-fund-managed-fund,"	66814100",3.67,0.00,0,Unclassified
ASX:RAD,"Radiopharm Theranostics Limited (ASX:RAD)",https://www.listcorp.com/asx/rad/radiopharm-theranostics-limited,"	66735700",0.023,-0.00,-4.17,"Health Care"
ASX:LM8,"Lunnon Metals Limited (ASX:LM8)",https://www.listcorp.com/asx/lm8/lunnon-metals-limited,"	66443300",0.27,-0.03,-9.24,Materials
ASX:GROW,"Schroder Real Return (Managed Fund) (ASX:GROW)",https://www.listcorp.com/asx/grow/schroder-real-return-managed-fund,"	66391200",3.96,0.00,0,Unclassified
ASX:POD,"Podium Minerals Limited (ASX:POD)",https://www.listcorp.com/asx/pod/podium-minerals-limited,"	66171000",0.059,-0.01,-11.94,Materials
ASX:ESR,"Estrella Resources Limited (ASX:ESR)",https://www.listcorp.com/asx/esr/estrella-resources-limited,"	66011700",0.029,-0.00,-3.33,Materials
ASX:VTX,"Vertex Minerals Limited (ASX:VTX)",https://www.listcorp.com/asx/vtx/vertex-minerals-limited,"	65899000",0.205,-0.03,-10.87,Materials
ASX:EPM,"Eclipse Metals Ltd (ASX:EPM)",https://www.listcorp.com/asx/epm/eclipse-metals-ltd,"	65782200",0.018,-0.00,-14.29,Energy
ASX:GPEQ,"VanEck Global Listed Private Equity ETF (ASX:GPEQ)",https://www.listcorp.com/asx/gpeq/vaneck-global-listed-private-equity-etf,"	65549300",23.3,0.06,0.26,Unclassified
ASX:SB2,"Salter Brothers Emerging Companies Limited (ASX:SB2)",https://www.listcorp.com/asx/sb2/salter-brothers-emerging-companies-limited,"	65316700",0.755,-0.02,-2.58,Financials
ASX:VFY,"Vitrafy Life Sciences Limited (ASX:VFY)",https://www.listcorp.com/asx/vfy/vitrafy-life-sciences-limited,"	65098200",1.5,-0.08,-5.06,"Health Care"
